ts,price,volume,side
1763510005.181,3116.48,0.07,B
1763510005.181,3116.48,0.04,B
1763510005.181,3116.48,0.01,B
1763510003.888,3116.48,0.16,B
1763510003.888,3116.48,0.01,B
1763510002.881,3116.48,0.02,B
1763510002.342,3116.48,0.01,B
1763510000.307,3116.44,0.01,B
1763510000.307,3116.43,0.01,B
1763510000.307,3116.43,0.01,B
1763510000.299,3116.4,0.01,B
1763510000.299,3116.4,0.01,B
1763510000.299,3116.4,0.01,B
1763510000.273,3116.39,0.01,B
1763510000.268,3116.38,0.02,B
1763510000.268,3116.38,0.01,B
1763510000.268,3116.35,0.14,B
1763510000.268,3116.35,0.02,B
1763510000.268,3116.32,0.02,B
1763510000.268,3116.29,0.02,B
1763510000.268,3116.28,0.01,B
1763510000.208,3116.27,0.01,B
1763510000.208,3116.26,0.01,B
1763510000.208,3116.26,0.01,B
1763510000.208,3116.26,0.01,B
1763510000.197,3116.25,0.01,B
1763510000.181,3116.19,0.01,B
1763510000.181,3116.19,0.01,B
1763510000.163,3116.1,0.01,B
1763510000.163,3116.1,0.01,B
1763510000.106,3116.09,0.01,B
1763510000.106,3116.09,0.01,B
1763510000.097,3116.01,0.01,B
1763510000.097,3116.01,0.01,B
1763510000.097,3116.01,0.01,B
1763510000.097,3116.01,0.01,B
1763509998.588,3116.0,0.08,S
1763509998.588,3116.0,0.01,S
1763509998.588,3116.0,0.01,S
1763509998.588,3116.0,0.37,S
1763509998.573,3116.0,0.3,S
1763509998.436,3116.01,0.01,B
1763509998.436,3116.01,0.15,B
1763509998.436,3116.01,0.01,B
1763509998.436,3116.01,0.01,B
1763509998.436,3116.01,0.32,B
1763509997.478,3116.0,0.5,S
1763509993.087,3116.1,0.01,S
1763509993.087,3116.12,0.01,S
1763509993.087,3116.12,0.01,S
1763509993.087,3116.12,0.01,S
1763509993.087,3116.12,0.01,S
1763509992.836,3116.13,0.5,B
1763509991.489,3116.13,0.82,B
1763509991.256,3116.02,2.54,S
1763509991.256,3116.02,0.02,S
1763509991.256,3116.1,0.01,S
1763509991.256,3116.11,0.02,S
1763509991.256,3116.14,0.01,S
1763509991.256,3116.14,0.01,S
1763509991.256,3116.25,0.01,S
1763509991.256,3116.3,0.02,S
1763509991.256,3116.34,0.01,S
1763509991.256,3116.34,0.01,S
1763509991.256,3116.34,0.01,S
1763509991.256,3116.34,0.01,S
1763509991.256,3116.34,0.01,S
1763509991.256,3116.34,0.32,S
1763509989.738,3116.35,0.15,B
1763509989.738,3116.35,0.01,B
1763509989.376,3116.34,0.02,B
1763509989.376,3116.25,0.01,B
1763509989.376,3116.19,0.01,B
1763509989.376,3116.15,0.01,B
1763509989.376,3116.15,0.01,B
1763509989.376,3116.15,0.01,B
1763509989.376,3116.15,0.01,B
1763509988.677,3116.19,0.01,S
1763509988.677,3116.25,0.01,S
1763509988.677,3116.26,0.01,S
1763509988.666,3116.38,0.1,S
1763509988.666,3116.38,0.01,S
1763509988.666,3116.38,0.01,S
1763509988.666,3116.38,0.01,S
1763509988.666,3116.38,0.01,S
1763509988.086,3116.39,0.01,B
1763509987.687,3116.39,0.01,S
1763509987.687,3116.39,0.01,S
1763509987.687,3116.4,0.01,S
1763509987.687,3116.4,0.01,S
1763509987.687,3116.4,0.01,S
1763509987.596,3116.46,0.02,S
1763509987.596,3116.52,0.02,S
1763509987.596,3116.55,0.02,S
1763509987.596,3116.57,0.01,S
1763509987.596,3116.58,0.01,S
1763509987.596,3116.58,0.01,S
